UserId	UserIdSecondary	PlayerName	CharacterLevel	GuildName	ClassId	ClassVariant	GearScore	RoleId	Activity1	Activity2	LastLogin	ParsedLastLogin	JoinTS	ParsedJoinTS
10296	10296	Jogi	52		1	7310002	10561	4	210	460	1760622044	2025-10-16 13:40:44	1760033895	2025-10-09 18:18:15
11238	11238	Jebou	50		2	7320002	9429	4	40	40	1760543921	2025-10-15 15:58:41	1760568654	2025-10-15 22:50:54
25598	25598	Alice	52		1	7310002	10184	4	250	320	1760546281	2025-10-15 16:38:01	1760295667	2025-10-12 19:01:07
28716	28716	Forsaken	53		11	7390002	10744	4	260	510	1760616291	2025-10-16 12:04:51	1760013026	2025-10-09 12:30:26
32786	32786	Cinderella	53		5	7350002	9521	4	260	510	1760617070	2025-10-16 12:17:50	1760036103	2025-10-09 18:55:03
41834	41834	xArya	51		1	7310002	10444	4	150	150	1760603254	2025-10-16 08:27:34	1760478183	2025-10-14 21:43:03
45776	45776	Crowned	50		11	7390002	9532	4	90	90	1760591618	2025-10-16 05:13:38	1760440730	2025-10-14 11:18:50
53568	53568	Bonifacio	50		5	7350002	9351	4	210	230	1760544004	2025-10-15 16:00:04	1760294905	2025-10-12 18:48:25
62113	62113	Sanatoria	50		1	7310002	8488	4	130	280	1760548802	2025-10-15 17:20:02	1760021804	2025-10-09 14:56:44
63639	63639	eba	53		9	7370002	10576	4	280	510	1760546256	2025-10-15 16:37:36	1760013981	2025-10-09 12:46:21
65742	65742	Ecchika	46		12	7400002	8006	4	170	360	1760582545	2025-10-16 02:42:25	1760021173	2025-10-09 14:46:13
68605	68605	Tenssen	50		1	7310002	8395	4	20	20	1760605580	2025-10-16 09:06:20	1760484635	2025-10-14 23:30:35
71961	71961	Zaichiki	50		2	7320002	8807	3	160	330	1760621492	2025-10-16 13:31:32	1760015849	2025-10-09 13:17:29
72386	72386	Cutlass	53		2	7320002	10656	4	230	420	1760614385	2025-10-16 11:33:05	1760015047	2025-10-09 13:04:07
153717	153717	Willem	46		1	7310002	7867	4	90	130	1760467864	2025-10-14 18:51:04	1760295006	2025-10-12 18:50:06
172168	172168	floyd	53		1	7310002	10078	4	260	510	1760600297	2025-10-16 07:38:17	1760021254	2025-10-09 14:47:34
209739	209739	Yannix	53		1	7310002	10118	4	230	440	1760584489	2025-10-16 03:14:49	1760021606	2025-10-09 14:53:26
217940	217940	Vanillite	46		2	7320002	7053	4	50	230	1760461166	2025-10-14 16:59:26	1760021829	2025-10-09 14:57:09
220033	220033	VicTim	53		13	7410002	8886	4	260	260	1760610609	2025-10-16 10:30:09	1760362892	2025-10-13 13:41:32
227398	227398	LorTrix	53		13	7410002	9183	4	250	320	1760544560	2025-10-15 16:09:20	1760296114	2025-10-12 19:08:34
232242	232242	IgnaPheonix	49		11	7390002	7195	4	100	220	1760544379	2025-10-15 16:06:19	1760026202	2025-10-09 16:10:02
240574	240574	HangryPanda	53		1	7310002	9791	4	220	470	1760601769	2025-10-16 08:02:49	1760022508	2025-10-09 15:08:28
241771	241771	Allumi	53		1	7310002	8859	4	260	450	1760611567	2025-10-16 10:46:07	1760113658	2025-10-10 16:27:38
246090	246090	Ikaaa	29		12	7400002	2570	4	0	90	1760443325	2025-10-14 12:02:05	1760021050	2025-10-09 14:44:10
256899	256899	Caxavo	52		1	7310002	9777	3	160	370	1760610153	2025-10-16 10:22:33	1760015007	2025-10-09 13:03:27
256917	256917	yune	33		2	7320002	5441	4	0	160	1760201694	2025-10-11 16:54:54	1760017798	2025-10-09 13:49:58
258953	258953	Rowlet	53		5	7350002	10046	4	220	450	1760609329	2025-10-16 10:08:49	1760021778	2025-10-09 14:56:18
262378	262378	Siv	53		12	7400002	10358	2	250	500	1760610155	2025-10-16 10:22:35	1760027137	2025-10-09 16:25:37
267096	267096	thirteen	50		5	7350002	9286	4	190	440	1760544095	2025-10-15 16:01:35	1760021397	2025-10-09 14:49:57
276659	276659	Msam	53		2	7320002	9887	4	280	490	1760619222	2025-10-16 12:53:42	1760020196	2025-10-09 14:29:56
277227	277227	Raa	50		1	7310002	9182	4	190	420	1760558012	2025-10-15 19:53:32	1760024620	2025-10-09 15:43:40
287426	287426	TKPStefan	53		2	7320002	10405	4	280	530	1760584174	2025-10-16 03:09:34	1760016850	2025-10-09 13:34:10
326132	326132	LiterallyKiyan	53		12	7400002	10414	4	230	480	1760614633	2025-10-16 11:37:13	1760020102	2025-10-09 14:28:22
414091	414091	Simo	53		2	7320002	9964	4	280	530	1760606940	2025-10-16 09:29:00	1760033066	2025-10-09 18:04:26
416036	416036	Solteki	52		9	7370002	8654	3	210	440	1760615515	2025-10-16 11:51:55	1760019634	2025-10-09 14:20:34
418748	418748	Mupechito	53		12	7400002	9299	4	250	500	1760599490	2025-10-16 07:24:50	1760022619	2025-10-09 15:10:19
422338	422338	Alaric	50		9	7370002	9117	4	210	400	1760620077	2025-10-16 13:07:57	1760016321	2025-10-09 13:25:21
434449	434449	Easis	50		5	7350002	9356	4	120	160	1760560384	2025-10-15 20:33:04	1760295207	2025-10-12 18:53:27
467527	467527	Volkem	42		2	7320002	6927	4	70	280	1760338805	2025-10-13 07:00:05	1760021410	2025-10-09 14:50:10
481778	481778	Shisori	48		11	7390002	7461	4	80	210	1760558370	2025-10-15 19:59:30	1760022491	2025-10-09 15:08:11
483785	483785	Dev	50		13	7410002	9451	4	230	440	1760558163	2025-10-15 19:56:03	1760026267	2025-10-09 16:11:07
616610	616610	FearnotYuri	53		1	7310002	10523	4	200	370	1760601955	2025-10-16 08:05:55	1760026195	2025-10-09 16:09:55
621070	621070	Titania	45		13	7410002	5828	4	20	20	1760565113	2025-10-15 21:51:53	1760569681	2025-10-15 23:08:01
631677	631677	Nimba	46		4	7340002	8000	4	70	300	1760552685	2025-10-15 18:24:45	1760027639	2025-10-09 16:33:59
639381	639381	Callum	40		5	7350002	5447	2	70	280	1760567876	2025-10-15 22:37:56	1760018617	2025-10-09 14:03:37
649525	649525	Ruby	53		13	7410002	8952	4	210	460	1760589853	2025-10-16 04:44:13	1760024618	2025-10-09 15:43:38
676550	676550	Rein	50		4	7340002	9020	4	210	390	1760571653	2025-10-15 23:40:53	1760113915	2025-10-10 16:31:55
832018	832018	Nozel	53		2	7320002	10860	4	280	320	1760603160	2025-10-16 08:26:00	1760295195	2025-10-12 18:53:15
834551	834551	Bemgi	36		9	7370002	5396	4	0	130	1760598442	2025-10-16 07:07:22	1760020105	2025-10-09 14:28:25
908136	908136	Jaka	51		5	7350002	9752	1	220	450	1760615583	2025-10-16 11:53:03	1760021899	2025-10-09 14:58:19
1026816	1026816	Weelly	53		11	7390002	11442	4	280	490	1760621001	2025-10-16 13:23:21	1760072857	2025-10-10 05:07:37
1250171	1250171	Asuna	50		1	7310002	9779	4	200	200	1760596266	2025-10-16 06:31:06	1760363276	2025-10-13 13:47:56
1647471	1647471	CovertCapybara	50		12	7400002	8927	4	280	470	1760595533	2025-10-16 06:18:53	1760042649	2025-10-09 20:44:09
1654820	1654820	Middna	51		2	7320002	6887	4	150	150	1760573885	2025-10-16 00:18:05	1760354629	2025-10-13 11:23:49
1677325	1677325	Pieck	51		12	7400002	9815	4	190	210	1760613815	2025-10-16 11:23:35	1760294632	2025-10-12 18:43:52
1845731	1845731	Maiki	53		13	7410002	8873	4	260	410	1760615702	2025-10-16 11:55:02	1760113640	2025-10-10 16:27:20
1854103	1854103	Peanuts	50		11	7390002	10399	4	190	230	1760612481	2025-10-16 11:01:21	1760294923	2025-10-12 18:48:43
1884171	1884171	Lun	50		11	7390002	9094	4	210	210	1760568445	2025-10-15 22:47:25	1760307853	2025-10-12 22:24:13
1884242	1884242	Hideurwives	52		2	7320002	9209	4	280	510	1760622530	2025-10-16 13:48:50	1760029651	2025-10-09 17:07:31
1884924	1884924	Nharryto	50		1	7310002	9735	4	220	260	1760615011	2025-10-16 11:43:31	1760294857	2025-10-12 18:47:37
2050528	2050528	Frenkyno	53		12	7400002	10033	4	240	360	1760614025	2025-10-16 11:27:05	1760186371	2025-10-11 12:39:31
2058293	2058293	DeathRose	53		4	7340002	10628	4	250	480	1760619720	2025-10-16 13:02:00	1760053072	2025-10-09 23:37:52
3305766	3305766	Rinux	36		1	7310002	5646	4	0	170	1760310514	2025-10-12 23:08:34	1760103002	2025-10-10 13:30:02
4160054	4160054	Luciendar	25		1	7310002	1825	4	10	10	1760453362	2025-10-14 14:49:22	1760440738	2025-10-14 11:18:58
34818194	34818194	Tancred	32		9	7370002	3376	4	0	0	1760561429	2025-10-15 20:50:29	1760568364	2025-10-15 22:46:04
42603168	0		0		0	0	0	4	0	0	0		1760622704	2025-10-16 13:51:44
59601510	59601510	Nebula	50		5	7350002	6807	4	110	110	1760609956	2025-10-16 10:19:16	1760452493	2025-10-14 14:34:53
70250813	70250813	Ayuzi	50		1	7310002	7008	4	50	50	1760617750	2025-10-16 12:29:10	1760568364	2025-10-15 22:46:04
83599650	83599650	Calbee	35		1	7310002	2204	4	30	30	1760549150	2025-10-15 17:25:50	1760568364	2025-10-15 22:46:04
85420749	85420749	Clockwork	22		1	7310002	1626	4	0	0	1760567485	2025-10-15 22:31:25	1760608856	2025-10-16 10:00:56
86244247	86244247	Jumana	28		2	7320002	2680	4	0	0	1760586986	2025-10-16 03:56:26	1760608825	2025-10-16 10:00:25
