UserId	UserIdSecondary	PlayerName	CharacterLevel	GuildName	ClassId	ClassVariant	GearScore	RoleId	Activity1	Activity2	LastLogin	ParsedLastLogin	JoinTS	ParsedJoinTS
10296	10296	Jogi	42		1	7310002	8328	4	70	320	1760363079	2025-10-13 13:44:39	1760033895	2025-10-09 18:18:15
20525	20525	Lightless	37		12	7400002	5356	1	0	150	1760378317	2025-10-13 17:58:37	1760012191	2025-10-09 12:16:31
20765	20765	Zolo	38		11	7390002	7553	4	0	250	1760309356	2025-10-12 22:49:16	1760012626	2025-10-09 12:23:46
25598	25598	Alice	42		1	7310002	8074	4	70	140	1760362368	2025-10-13 13:32:48	1760295667	2025-10-12 19:01:07
28716	28716	Forsaken	42		11	7390002	8236	4	70	320	1760362081	2025-10-13 13:28:01	1760013026	2025-10-09 12:30:26
32786	32786	Cinderella	41		5	7350002	7620	4	20	270	1760367474	2025-10-13 14:57:54	1760036103	2025-10-09 18:55:03
53568	53568	Bonifacio	42		5	7350002	7544	4	70	90	1760361226	2025-10-13 13:13:46	1760294905	2025-10-12 18:48:25
54244	54244	DTRyuF2P	30		9	7370002	2343	4	0	30	1760190482	2025-10-11 13:48:02	1760021726	2025-10-09 14:55:26
62113	62113	Sanatoria	42		1	7310002	7391	4	50	200	1760372347	2025-10-13 16:19:07	1760021804	2025-10-09 14:56:44
63639	63639	eba	42		9	7370002	8017	4	70	300	1760347736	2025-10-13 09:28:56	1760013981	2025-10-09 12:46:21
64449	64449	ACE	42		2	7320002	8084	4	50	70	1760360895	2025-10-13 13:08:15	1760313626	2025-10-13 00:00:26
65742	65742	Ecchika	38		12	7400002	5692	4	50	240	1760375175	2025-10-13 17:06:15	1760021173	2025-10-09 14:46:13
71961	71961	Zaichiki	38		13	7410002	6377	3	10	180	1760370988	2025-10-13 15:56:28	1760015849	2025-10-09 13:17:29
72386	72386	Cutlass	42		2	7320002	8186	4	50	240	1760375923	2025-10-13 17:18:43	1760015047	2025-10-09 13:04:07
80062	80062	Nordik	42		13	7410002	8904	4	0	0	1760380103	2025-10-13 18:28:23	1760378890	2025-10-13 18:08:10
108696	108696	Wakyna	38		9	7370002	6767	4	0	250	1760253963	2025-10-12 07:26:03	1760017278	2025-10-09 13:41:18
153717	153717	Willem	41		1	7310002	7090	4	30	70	1760373489	2025-10-13 16:38:09	1760295006	2025-10-12 18:50:06
172168	172168	floyd	42		1	7310002	8114	4	70	320	1760378514	2025-10-13 18:01:54	1760021254	2025-10-09 14:47:34
209739	209739	Yannix	42		1	7310002	7789	4	70	280	1760371628	2025-10-13 16:07:08	1760021606	2025-10-09 14:53:26
217940	217940	Vanillite	41		2	7320002	6731	4	30	210	1760374518	2025-10-13 16:55:18	1760021829	2025-10-09 14:57:09
220033	220033	VicTim	42		13	7410002	5955	4	50	50	1760353716	2025-10-13 11:08:36	1760362892	2025-10-13 13:41:32
227398	227398	LorTrix	42		11	7390002	8113	4	70	140	1760376239	2025-10-13 17:23:59	1760296114	2025-10-12 19:08:34
232242	232242	IgnaPheonix	41		11	7390002	5910	4	20	140	1760366491	2025-10-13 14:41:31	1760026202	2025-10-09 16:10:02
240574	240574	HangryPanda	42		1	7310002	7793	4	50	300	1760376974	2025-10-13 17:36:14	1760022508	2025-10-09 15:08:28
241771	241771	Allumi	42		1	7310002	6988	4	70	260	1760361858	2025-10-13 13:24:18	1760113658	2025-10-10 16:27:38
242074	242074	Rip	40		1	7310002	6154	4	0	170	1760338698	2025-10-13 06:58:18	1760020692	2025-10-09 14:38:12
246090	246090	Ikaaa	28		12	7400002	2556	4	0	90	1760277719	2025-10-12 14:01:59	1760021050	2025-10-09 14:44:10
254211	254211	twelve	42		4	7340002	8252	4	70	320	1760340347	2025-10-13 07:25:47	1760020174	2025-10-09 14:29:34
256899	256899	Caxavo	41		1	7310002	7476	3	50	260	1760374039	2025-10-13 16:47:19	1760015007	2025-10-09 13:03:27
256917	256917	yune	33		2	7320002	5441	4	0	160	1760201694	2025-10-11 16:54:54	1760017798	2025-10-09 13:49:58
258953	258953	Rowlet	42		5	7350002	8003	4	70	300	1760373557	2025-10-13 16:39:17	1760021778	2025-10-09 14:56:18
262378	262378	Siv	42		12	7400002	7626	2	70	320	1760362645	2025-10-13 13:37:25	1760027137	2025-10-09 16:25:37
267096	267096	thirteen	42		5	7350002	8300	4	70	320	1760362876	2025-10-13 13:41:16	1760021397	2025-10-09 14:49:57
272471	272471	Roihu	42		12	7400002	8133	4	50	200	1760376478	2025-10-13 17:27:58	1760145075	2025-10-11 01:11:15
