UserID	PlayerName	CharacterLevel	ClassID	ClassVariant	GuildRoleID	LastOnline	ActivityMerit1	ActivityMerit2	GuildName	AvatarUrl1	AvatarUrl2	UUID
138		0	0	0	0		0	0	Defiance			
63639	63639	38	9	7370002	3	2025-10-09 12:46:21	230	230				e0015eea-16a2-4504-9a8f-da2ca14dc87d
422338	Alaric	38	0	0	4	2025-10-09 13:25:21	190	190				627fee2d-890f-4c85-86cf-ab66232ee0f8
2879625	Alesk	38	1	7310002	4	2025-10-11 23:40:24	70	70				b6a10f69-7589-44b1-b32c-5648d2376911
241771	Allumi	38	0	0	4	2025-10-10 16:27:38	190	190				
778982	areadmitch	35	13	7410002	4	2025-10-09 15:11:04	180	180				06a9a5e2-2c87-4cc9-802f-2484f7fdc9e7
2052453	Aurafarmer	26	0	0	4	2025-10-09 17:29:03	90	90				
1450200	Ayis	38	0	0	4	2025-10-09 15:43:31	250	250				
245969	Azrael	33	13	7410002	4	2025-10-09 16:10:52	100	100				
2490468	AzraelUK	18	11	7390002	4	2025-10-09 18:45:09	40	40				
834551	Bemgi	36	0	0	4	2025-10-09 14:28:25	130	130				eb4db0ca-910e-4ccf-855b-63940b8effbc
