UserId	UserIdSecondary	PlayerName	CharacterLevel	GuildName	ClassId	ClassVariant	GearScore	RoleId	Activity1	Activity2	LastLogin	ParsedLastLogin	JoinTS	ParsedJoinTS
10296	10296	Jogi	47		1	7310002	9283	4	140	390	1760438956	2025-10-14 10:49:16	1760033895	2025-10-09 18:18:15
25598	25598	Alice	47		2	7320002	8145	4	140	210	1760463106	2025-10-14 17:31:46	1760295667	2025-10-12 19:01:07
28716	28716	Forsaken	46		11	7390002	8974	4	100	350	1760473283	2025-10-14 20:21:23	1760013026	2025-10-09 12:30:26
32786	32786	Cinderella	46		5	7350002	8340	4	140	390	1760464685	2025-10-14 17:58:05	1760036103	2025-10-09 18:55:03
45776	45776	Crowned	47		11	7390002	8804	4	50	50	1760471071	2025-10-14 19:44:31	1760440730	2025-10-14 11:18:50
53568	53568	Bonifacio	47		5	7350002	8564	4	140	160	1760467066	2025-10-14 18:37:46	1760294905	2025-10-12 18:48:25
54244	54244	DTRyuF2P	30		9	7370002	2343	4	0	30	1760190482	2025-10-11 13:48:02	1760021726	2025-10-09 14:55:26
62113	62113	Sanatoria	47		1	7310002	7829	4	90	240	1760462976	2025-10-14 17:29:36	1760021804	2025-10-09 14:56:44
63639	63639	eba	47		9	7370002	9066	4	140	370	1760347736	2025-10-13 09:28:56	1760013981	2025-10-09 12:46:21
65742	65742	Ecchika	45		12	7400002	6168	4	120	310	1760453930	2025-10-14 14:58:50	1760021173	2025-10-09 14:46:13
71961	71961	Zaichiki	46		2	7320002	7277	3	80	250	1760457924	2025-10-14 16:05:24	1760015849	2025-10-09 13:17:29
72386	72386	Cutlass	47		2	7320002	8676	4	120	310	1760463258	2025-10-14 17:34:18	1760015047	2025-10-09 13:04:07
108696	108696	Wakyna	38		9	7370002	6767	4	0	250	1760253963	2025-10-12 07:26:03	1760017278	2025-10-09 13:41:18
153717	153717	Willem	46		1	7310002	7867	4	70	110	1760467864	2025-10-14 18:51:04	1760295006	2025-10-12 18:50:06
172168	172168	floyd	42		1	7310002	8119	4	70	320	1760378514	2025-10-13 18:01:54	1760021254	2025-10-09 14:47:34
209739	209739	Yannix	47		1	7310002	8467	4	140	350	1760443595	2025-10-14 12:06:35	1760021606	2025-10-09 14:53:26
217940	217940	Vanillite	46		2	7320002	7053	4	50	230	1760461166	2025-10-14 16:59:26	1760021829	2025-10-09 14:57:09
220033	220033	VicTim	47		13	7410002	7420	4	110	110	1760471764	2025-10-14 19:56:04	1760362892	2025-10-13 13:41:32
227398	227398	LorTrix	47		11	7390002	8748	4	140	210	1760462283	2025-10-14 17:18:03	1760296114	2025-10-12 19:08:34
232242	232242	IgnaPheonix	46		11	7390002	6871	4	60	180	1760462961	2025-10-14 17:29:21	1760026202	2025-10-09 16:10:02
240574	240574	HangryPanda	47		1	7310002	8248	4	120	370	1760464203	2025-10-14 17:50:03	1760022508	2025-10-09 15:08:28
241771	241771	Allumi	47		1	7310002	7772	4	140	330	1760443861	2025-10-14 12:11:01	1760113658	2025-10-10 16:27:38
242074	242074	Rip	40		1	7310002	6154	4	0	170	1760442229	2025-10-14 11:43:49	1760020692	2025-10-09 14:38:12
246090	246090	Ikaaa	29		12	7400002	2570	4	0	90	1760443325	2025-10-14 12:02:05	1760021050	2025-10-09 14:44:10
254211	254211	twelve	47		4	7340002	8743	4	140	390	1760432130	2025-10-14 08:55:30	1760020174	2025-10-09 14:29:34
256899	256899	Caxavo	46		1	7310002	8268	3	70	280	1760450959	2025-10-14 14:09:19	1760015007	2025-10-09 13:03:27
256917	256917	yune	33		2	7320002	5441	4	0	160	1760201694	2025-10-11 16:54:54	1760017798	2025-10-09 13:49:58
258953	258953	Rowlet	47		5	7350002	8460	4	100	330	1760457330	2025-10-14 15:55:30	1760021778	2025-10-09 14:56:18
262378	262378	Siv	47		12	7400002	8539	2	140	390	1760436404	2025-10-14 10:06:44	1760027137	2025-10-09 16:25:37
267096	267096	thirteen	47		5	7350002	8842	4	140	390	1760453896	2025-10-14 14:58:16	1760021397	2025-10-09 14:49:57
276659	276659	Msam	47		2	7320002	8673	4	140	350	1760463148	2025-10-14 17:32:28	1760020196	2025-10-09 14:29:56
277227	277227	Raa	47		1	7310002	8600	4	120	350	1760464875	2025-10-14 18:01:15	1760024620	2025-10-09 15:43:40
287426	287426	TKPStefan	47		2	7320002	9226	4	110	360	1760459023	2025-10-14 16:23:43	1760016850	2025-10-09 13:34:10
326132	326132	LiterallyKiyan	47		12	7400002	9022	4	140	390	1760471779	2025-10-14 19:56:19	1760020102	2025-10-09 14:28:22
414091	414091	Simo	47		2	7320002	8523	4	140	390	1760437824	2025-10-14 10:30:24	1760033066	2025-10-09 18:04:26
416036	416036	Solteki	41		9	7370002	6652	4	70	300	1760275213	2025-10-12 13:20:13	1760019634	2025-10-09 14:20:34
418748	418748	Mupechito	47		12	7400002	8129	4	140	390	1760471436	2025-10-14 19:50:36	1760022619	2025-10-09 15:10:19
422338	422338	Alaric	47		9	7370002	8233	4	120	310	1760453989	2025-10-14 14:59:49	1760016321	2025-10-09 13:25:21
432965	432965	Colle	34		1	7310002	2503	4	0	0	1760269417	2025-10-12 11:43:37	1760020198	2025-10-09 14:29:58
434449	434449	Easis	46		5	7350002	8222	4	80	120	1760458489	2025-10-14 16:14:49	1760295207	2025-10-12 18:53:27
467527	467527	Volkem	42		2	7320002	6927	4	70	280	1760338805	2025-10-13 07:00:05	1760021410	2025-10-09 14:50:10
481778	481778	Shisori	41		11	7390002	6505	4	40	170	1760366100	2025-10-13 14:35:00	1760022491	2025-10-09 15:08:11
483785	483785	Dev	47		13	7410002	8452	4	100	310	1760463367	2025-10-14 17:36:07	1760026267	2025-10-09 16:11:07
616610	616610	FearnotYuri	47		1	7310002	8062	4	90	260	1760432174	2025-10-14 08:56:14	1760026195	2025-10-09 16:09:55
631677	631677	Nimba	46		4	7340002	8000	4	70	300	1760462780	2025-10-14 17:26:20	1760027639	2025-10-09 16:33:59
639381	639381	Callum	40		5	7350002	5447	2	60	270	1760464392	2025-10-14 17:53:12	1760018617	2025-10-09 14:03:37
649525	649525	Ruby	47		13	7410002	8129	4	120	370	1760464491	2025-10-14 17:54:51	1760024618	2025-10-09 15:43:38
676550	676550	Rein	46		4	7340002	8435	4	110	290	1760473030	2025-10-14 20:17:10	1760113915	2025-10-10 16:31:55
832018	832018	Nozel	47		2	7320002	8706	4	140	180	1760467118	2025-10-14 18:38:38	1760295195	2025-10-12 18:53:15
834551	834551	Bemgi	36		9	7370002	5396	4	0	130	1760291583	2025-10-12 17:53:03	1760020105	2025-10-09 14:28:25
908136	908136	Jaka	46		5	7350002	8357	1	100	330	1760398726	2025-10-13 23:38:46	1760021899	2025-10-09 14:58:19
1026816	1026816	Weelly	46		11	7390002	9057	4	120	330	1760441950	2025-10-14 11:39:10	1760072857	2025-10-10 05:07:37
1250171	1250171	Asuna	47		1	7310002	9053	4	110	110	1760454598	2025-10-14 15:09:58	1760363276	2025-10-13 13:47:56
1450200	1450200	Ayis	38		11	7390002	6521	4	0	250	1760275283	2025-10-12 13:21:23	1760024611	2025-10-09 15:43:31
1647471	1647471	CovertCapybara	40		12	7400002	6949	4	70	260	1760419853	2025-10-14 05:30:53	1760042649	2025-10-09 20:44:09
1649447	1649447	eryu	33		11	7390002	5389	4	0	110	1760199885	2025-10-11 16:24:45	1760120515	2025-10-10 18:21:55
1654820	1654820	Middna	45		2	7320002	5898	4	70	70	1760440501	2025-10-14 11:15:01	1760354629	2025-10-13 11:23:49
1677325	1677325	Pieck	46		12	7400002	8186	4	100	120	1760467574	2025-10-14 18:46:14	1760294632	2025-10-12 18:43:52
1845731	1845731	Maiki	47		13	7410002	7962	4	140	290	1760443405	2025-10-14 12:03:25	1760113640	2025-10-10 16:27:20
1854103	1854103	Peanuts	46		11	7390002	8816	4	80	120	1760458384	2025-10-14 16:13:04	1760294923	2025-10-12 18:48:43
1884171	1884171	Lun	47		11	7390002	7459	4	140	140	1760471226	2025-10-14 19:47:06	1760307853	2025-10-12 22:24:13
1884242	1884242	Hideurwives	46		2	7320002	8078	4	120	350	1760471549	2025-10-14 19:52:29	1760029651	2025-10-09 17:07:31
1884924	1884924	Nharryto	47		1	7310002	8555	4	140	180	1760464988	2025-10-14 18:03:08	1760294857	2025-10-12 18:47:37
2050528	2050528	Frenkyno	47		12	7400002	8554	4	120	240	1760466733	2025-10-14 18:32:13	1760186371	2025-10-11 12:39:31
2058293	2058293	DeathRose	47		4	7340002	8730	4	140	370	1760457128	2025-10-14 15:52:08	1760053072	2025-10-09 23:37:52
2879625	2879625	Alesk	47		1	7310002	8186	4	120	220	1760453953	2025-10-14 14:59:13	1760226024	2025-10-11 23:40:24
2890675	2890675	Wiliaem	42		5	7350002	6984	4	50	120	1760465666	2025-10-14 18:14:26	1760265412	2025-10-12 10:36:52
3305766	3305766	Rinux	36		1	7310002	5646	4	0	170	1760310514	2025-10-12 23:08:34	1760103002	2025-10-10 13:30:02
4146065	4146065	Venerable	19		4	7340002	1625	4	0	0	1760198669	2025-10-11 16:04:29	1760053155	2025-10-09 23:39:15
4160054	4160054	Luciendar	25		1	7310002	1825	4	10	10	1760453362	2025-10-14 14:49:22	1760440738	2025-10-14 11:18:58
8821459	8821459	Kito	42		11	7390002	5983	4	70	260	1760375800	2025-10-13 17:16:40	1760114209	2025-10-10 16:36:49
16593076	16593076	Keikikyuu	45		11	7390002	6836	4	120	210	1760410481	2025-10-14 02:54:41	1760145631	2025-10-11 01:20:31
47106773	47106773	Asuna	45		13	7410002	7366	4	110	110	1760465326	2025-10-14 18:08:46	1760397864	2025-10-13 23:24:24
59601510	59601510	Nebula	36		5	7350002	3663	4	0	0	1760452194	2025-10-14 14:29:54	1760452493	2025-10-14 14:34:53
71478207	71478207	Juice	44		11	7390002	4031	4	50	50	1760450033	2025-10-14 13:53:53	1760459632	2025-10-14 16:33:52
