UserId	UserIdSecondary	PlayerName	CharacterLevel	GuildName	Class	GearScore	Role	Activity1	Activity2	LastLogin	ParsedLastLogin	JoinTS	ParsedJoinTS	DiscordIsMember	DiscordNameData	DiscordHasRole
34818194	34818194	Tancred	32		HeavyGuardian	3376	member	0	0	1760561429	2025-10-15 20:50:29	1760568364	2025-10-15 22:46:04	no		false
42603168	42603168	Cornelious	57		Marksman	10963	role_0	0	0	1760774108	2025-10-18 07:55:08	0		maybe	.cornelious|.cornelious	true
59601510	59601510	Nebula	55		Verdant Oracle	9153	role_0	0	0	1760803205	2025-10-18 16:00:05	0		maybe	Ping for Pocket Healer | Nebula|jentin	true
70250813	70250813	Ayuzi	55		Stormblade	9063	role_0	0	0	1760774039	2025-10-18 07:53:59	0		no		false
71478207	71478207	Juice	57		Marksman	9845	role_0	0	0	1760802301	2025-10-18 15:45:01	0		no		false
82743365	82743365	Fade	57		Marksman	9347	role_0	0	0	1760788050	2025-10-18 11:47:30	0		maybe	fade276|fade276	true
83599650	83599650	Calbee	39		Stormblade	2906	member	70	70	1760633014	2025-10-16 16:43:34	1760568364	2025-10-15 22:46:04	no		false
84382121	84382121	Fyren	57		Soul Musician	10231	role_0	0	0	1760813066	2025-10-18 18:44:26	0		maybe	fyren_|fyren_	true
85404081	85404081	Frosch	55		Marksman	8057	member	70	70	1760814764	2025-10-18 19:12:44	1760681467	2025-10-17 06:11:07	no		false
85608491	85608491	Helin	52		Verdant Oracle	7229	member	100	100	1760809264	2025-10-18 17:41:04	1760702848	2025-10-17 12:07:28	maybe	helin6104|helin6104	true
86244247	86244247	Jumana	28		FrostMage	2680	member	0	0	1760647789	2025-10-16 20:49:49	1760608825	2025-10-16 10:00:25	no		false
96054112	96054112	Dantia	27		Stormblade	2551	member	30	30	1760804712	2025-10-18 16:25:12	1760807349	2025-10-18 17:09:09	yes	Dantia|dante1994	true
