UserId	UserIdSecondary	PlayerName	CharacterLevel	GuildName	ClassId	ClassVariant	GearScore	RoleId	Activity1	Activity2	LastLogin	ParsedLastLogin	JoinTS	ParsedJoinTS
10296	10296	Jogi	50		1	7310002	9971	4	210	460	1760558727	2025-10-15 20:05:27	1760033895	2025-10-09 18:18:15
25598	25598	Alice	50		2	7320002	9164	4	210	280	1760546281	2025-10-15 16:38:01	1760295667	2025-10-12 19:01:07
28716	28716	Forsaken	50		11	7390002	9496	4	210	460	1760525285	2025-10-15 10:48:05	1760013026	2025-10-09 12:30:26
32786	32786	Cinderella	50		5	7350002	9066	4	210	460	1760553626	2025-10-15 18:40:26	1760036103	2025-10-09 18:55:03
41834	41834	xArya	47		1	7310002	9103	4	40	40	1760547338	2025-10-15 16:55:38	1760478183	2025-10-14 21:43:03
45776	45776	Crowned	50		11	7390002	9202	4	70	70	1760557029	2025-10-15 19:37:09	1760440730	2025-10-14 11:18:50
53568	53568	Bonifacio	50		5	7350002	9351	4	210	230	1760544004	2025-10-15 16:00:04	1760294905	2025-10-12 18:48:25
62113	62113	Sanatoria	50		1	7310002	8488	4	130	280	1760548802	2025-10-15 17:20:02	1760021804	2025-10-09 14:56:44
63639	63639	eba	50		9	7370002	9750	4	210	440	1760546256	2025-10-15 16:37:36	1760013981	2025-10-09 12:46:21
65742	65742	Ecchika	46		12	7400002	7612	4	170	360	1760554799	2025-10-15 18:59:59	1760021173	2025-10-09 14:46:13
68605	68605	Tenssen	48		1	7310002	8281	4	20	20	1760544291	2025-10-15 16:04:51	1760484635	2025-10-14 23:30:35
71961	71961	Zaichiki	49		2	7320002	8053	3	150	320	1760544005	2025-10-15 16:00:05	1760015849	2025-10-09 13:17:29
72386	72386	Cutlass	50		2	7320002	9859	4	190	380	1760545419	2025-10-15 16:23:39	1760015047	2025-10-09 13:04:07
108696	108696	Wakyna	38		9	7370002	6767	4	0	250	1760253963	2025-10-12 07:26:03	1760017278	2025-10-09 13:41:18
153717	153717	Willem	46		1	7310002	7867	4	90	130	1760467864	2025-10-14 18:51:04	1760295006	2025-10-12 18:50:06
172168	172168	floyd	50		1	7310002	9123	4	190	440	1760556510	2025-10-15 19:28:30	1760021254	2025-10-09 14:47:34
209739	209739	Yannix	50		1	7310002	9229	4	190	400	1760555525	2025-10-15 19:12:05	1760021606	2025-10-09 14:53:26
217940	217940	Vanillite	46		2	7320002	7053	4	50	230	1760461166	2025-10-14 16:59:26	1760021829	2025-10-09 14:57:09
220033	220033	VicTim	50		13	7410002	8233	4	210	210	1760543849	2025-10-15 15:57:29	1760362892	2025-10-13 13:41:32
